# Raw measurement data
#   No filters applied
#   Data scaled to the range from 0 to 1 for the envelope
Time;Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8
5.2;-0.11009;-0.0629;0.043617;-0.056813;-0.096633;-0.086509;-0.073586;-0.026033
5.25;-0.11009;-0.0849;0.066015;0.046461;-0.096633;-0.086509;-0.096922;-0.065826
5.3;-0.11009;0.093664;-0.018988;-0.090135;-0.096633;-0.063699;-0.010644;-0.071391
5.35;-0.11009;-0.096946;0.0019996;0.14656;-0.043397;-0.086509;-0.096922;-0.079591
5.4;-0.066592;-0.096946;-0.078112;0.16909;-0.038313;-0.063128;-0.096922;-0.1027
5.45;-0.11009;-0.052361;0.15557;0.14711;-0.095357;-0.086387;-0.088179;-0.040776
5.5;-0.034103;0.038429;-0.071658;0.063456;-0.057649;-0.035647;-0.055069;-0.083927
5.55;0.11582;0.098503;-0.032722;-0.065852;-0.096633;-0.037726;-0.018072;-0.096682
5.6;0.12987;0.083022;-0.071085;0.015122;-0.082848;-0.044842;-0.048407;-0.1027
5.65;-0.016589;0.071666;0.10544;-0.0033224;-0.062644;-0.071008;-0.070512;-0.065448
5.7;-0.11009;0.07341;0.14707;-0.092066;-0.096633;-0.086509;-0.055822;-0.029692
5.75;-0.10142;0.17732;0.12627;-0.092066;-0.096633;-0.085761;-0.029647;-0.029157
5.8;0.098067;-0.030969;-0.078112;-0.092066;-0.054449;-0.0090465;-0.058604;-0.1027
5.85;-0.08045;0.26797;0.055878;-0.092066;-0.095196;-0.076724;-0.021632;-0.049154
5.9;0.079555;0.14986;0.11753;-0.092066;-0.096633;-0.046111;-0.045739;-0.055356
5.95;-0.018139;-0.07397;-0.078112;0.38124;-0.0068465;-0.051186;-0.088851;-0.1027
6;-0.062123;0.34039;0.072592;-0.029966;-0.071012;-0.069285;0.0076182;-0.041647
6.05;0.17015;0.0022125;0.18118;-0.0068825;-0.096633;-0.026222;-0.057522;-0.059476
6.1;0.20637;-0.055682;-0.042904;-0.092066;-0.016212;0.0055472;-0.090195;-0.095493
6.15;0.21791;0.28152;-0.078112;-0.092066;-0.092658;0.014028;0.015101;-0.1027
6.2;-0.062383;0.23703;0.044563;-0.092066;-0.096633;-0.07376;0.016732;-0.0069241
6.25;0.27775;0.075816;-0.069708;-0.092066;-0.096633;0.046687;0.029172;-0.098356
6.3;-0.11009;0.0015728;0.17235;0.26751;-0.026295;-0.086509;-0.096922;-0.04839
6.35;-0.056332;-0.096946;-0.078112;0.50656;0.030409;-0.066462;-0.094539;-0.1027
6.4;-0.11009;0.018782;0.056461;0.41609;0.059384;-0.086509;-0.086022;-0.072098
6.45;0.22025;0.12567;0.074393;-0.092066;-0.083218;0.00042922;-0.0067849;-0.065586
6.5;-0.10761;0.48447;0.32511;-0.092066;-0.094431;-0.085468;0.044087;0.0063087
6.55;0.037319;0.16188;0.32572;-0.092066;-0.03576;-0.019843;-0.011157;-0.026994
6.6;0.066094;0.097168;-0.078112;0.46584;0.033033;-0.045834;-0.032754;-0.084435
6.65;0.13192;-0.042682;-0.074017;-0.092066;-0.0073958;0.065217;-0.040295;-0.1027
6.7;0.25817;-0.054445;-0.078112;-0.092066;-0.047614;0.075423;-0.01486;-0.1027
6.75;-0.1044;-0.096946;0.13018;0.27638;0.0071562;-0.063618;-0.096922;-0.087962
6.8;0.32221;-0.096946;-0.078112;0.015002;0.048427;0.11414;-0.017616;-0.1027
6.85;0.14847;0.096991;-0.078112;-0.052306;0.11095;0.082937;0.015015;-0.076016
6.9;-0.11009;-0.09275;-0.074144;0.7154;0.17;-0.086509;-0.095166;-0.10057
6.95;0.19538;0.31776;-0.0098893;-0.060085;0.054864;0.062312;0.13684;-0.029338
7;0.38166;0.2218;0.10243;0.045925;-0.096633;0.15012;0.11412;-0.047824
7.05;0.60678;0.05385;-0.049964;-0.061209;-0.07666;0.32284;0.06221;-0.09412
7.1;0.12656;0.074131;-0.036019;0.53398;0.048266;0.036052;0.010144;-0.1027
7.15;-0.11009;-0.096946;0.1637;0.18668;-0.092843;-0.086509;-0.096922;0.046458
7.2;-0.10976;-0.025579;0.36121;-0.010323;-0.096633;-0.086325;-0.010685;0.20163
7.25;0.19403;-0.025784;-0.078112;-0.018909;0.1209;0.19595;9.4215e-05;-0.1027
7.3;0.39244;0.32308;-0.035484;-0.086187;-0.096633;0.18934;0.23461;0.0038987
7.35;0.29291;0.22548;-0.078112;0.0086926;0.083149;0.22333;0.15275;-0.055394
7.4;-0.014588;-0.096946;0.24339;0.41327;0.093266;0.0054563;-0.096922;-0.080495
7.45;0.41739;-0.096946;-0.035199;-0.026223;0.30896;0.35013;-0.096922;-0.091537
7.5;0.25162;0.18448;-0.078112;0.26819;0.097523;0.15492;0.11714;-0.093909
7.55;0.066254;-0.096946;0.45389;0.34601;-0.0058934;0.047325;-0.092393;0.10334
7.6;0.18983;0.25204;0.097914;-0.092066;-0.096633;0.14994;0.19503;-0.083789
7.65;0.27921;0.28541;0.0035717;-0.092066;-0.096633;0.11027;0.24206;0.078011
7.7;0.19901;-0.033438;-0.078112;-0.092066;0.27974;0.26039;-0.031749;-0.098312
7.75;0.031279;0.33295;0.3795;-0.092066;-0.096633;0.016328;0.20085;0.22734
7.8;-0.11009;0.37423;0.31191;0.12392;-0.086484;-0.086509;0.28508;0.20546
7.85;0.54504;0.32974;-0.078112;-0.051729;-0.056688;0.45551;0.28709;-0.090666
7.9;-0.11009;0.20384;0.16253;0.41306;0.074429;-0.086509;0.1361;0.14051
7.95;0.052241;-0.089756;0.39754;0.49264;-0.029692;0.049616;-0.08263;0.13887
8;-0.014096;-0.057832;0.61108;0.435;-0.096633;-0.0079411;-0.0637;0.28617
8.05;-0.050729;0.43741;0.14989;0.27903;0.13009;-0.056173;0.27422;0.094246
8.1;-0.11009;-0.096946;-0.052204;0.21833;-0.022958;-0.086509;-0.096922;0.087184
8.15;-0.11009;-0.084336;0.39543;0.093868;-0.096633;-0.086509;-0.086209;0.31207
8.2;0.2055;0.14981;-0.039088;-0.092066;0.11169;0.29497;0.11791;0.047239
8.25;-0.11009;0.45457;0.42421;-0.070913;-0.09353;-0.086509;0.28809;0.39965
8.3;0.10477;0.13528;0.45501;0.12729;-0.096633;0.05059;0.10489;0.24481
8.35;0.36114;0.060455;-0.0088516;-0.092066;0.25782;0.36971;0.022638;-0.0095893
8.4;0.019094;0.23535;0.69364;0.019533;-0.096633;0.030255;0.14826;0.39926
8.45;-0.11009;0.36399;0.1518;0.32973;0.11943;-0.086509;0.2361;0.13059
8.5;0.38216;0.48885;-0.022513;0.085843;-0.054293;0.39253;0.36453;-0.022754
8.55;-0.073656;-0.096946;-0.078112;0.61604;0.56342;-0.052903;-0.096922;-0.1027
8.6;0.098404;0.21319;-0.028563;-0.092066;-0.068245;0.27122;0.17672;0.073347
8.65;0.26355;-0.059059;-0.078112;-0.092066;0.23748;0.33123;-0.053072;-0.1027
8.7;-0.10681;0.088719;0.35255;0.17037;-0.096633;-0.086509;0.066232;0.28412
8.75;-0.11009;-0.096946;0.31916;0.34156;0.069305;-0.054749;-0.096922;0.14187
8.8;-0.040211;-0.017556;0.62221;0.23946;-0.096633;-0.031336;-0.027582;0.31998
8.85;0.21914;0.21423;-0.055029;-0.058457;0.30117;0.26926;0.16337;0.00095705
8.9;0.19317;0.67512;0.14851;0.031463;-0.072245;0.10428;0.48151;0.18918
8.95;-0.026371;0.56054;0.33186;-0.092066;0.067132;0.011843;0.43011;0.26731
9;0.30609;0.11227;-0.050669;0.42647;0.052877;0.30902;0.096936;-0.1027
9.05;-0.11009;-0.096946;-0.050847;0.27376;-0.046955;-0.086509;-0.096922;0.38227
9.1;-0.11009;-0.096946;0.0075966;0.27508;-0.096633;-0.086509;-0.089487;0.24
9.15;0.084512;0.36366;0.12334;-0.092066;-0.096633;0.15268;0.34989;0.27741
9.2;-0.10919;-0.091898;0.62649;0.27583;-0.096633;-0.085822;-0.09183;0.4119
9.25;-0.11009;0.03123;0.26179;0.31909;0.13367;-0.086509;0.015293;0.1913
9.3;-0.11009;0.42628;0.41318;0.021329;-0.065381;-0.086509;0.36641;0.47097
9.35;0.023636;-0.096946;0.070119;0.029231;0.53352;0.25069;-0.096922;0.010477
9.4;0.013413;0.27378;0.030015;0.16044;0.37785;0.12581;0.23374;0.080794
9.45;-0.10293;0.0027706;-0.035496;0.53377;0.55236;-0.013891;-0.011497;-0.058278
9.5;-0.026149;0.54396;0.73268;-0.092066;0.065298;0.0010572;0.34877;0.46336
9.55;0.28375;0.031273;-0.078112;-0.092066;0.031395;0.27962;0.03065;-0.1027
9.6;0.3405;-0.059793;-0.078112;-0.092066;0.18792;0.34923;-0.059447;-0.1027
9.65;-0.11009;0.054414;0.13483;0.3418;-0.015327;-0.086509;0.025062;0.17336
9.7;-0.0032337;-0.096946;-0.078112;0.51019;0.2069;0.026829;-0.096922;-0.1027
9.75;-0.11009;-0.085905;0.064743;0.41764;0.41267;-0.069393;-0.092294;0.046291
9.8;-0.11009;0.4066;0.22764;0.19932;-0.07791;0.070372;0.35071;0.32955
9.85;-0.053493;-0.079624;-0.078112;0.8228;0.18395;-0.035362;-0.076027;-0.1027
9.9;0.11018;-0.073811;0.1891;0.050901;0.50301;0.19645;-0.049807;0.12254
9.95;-0.11009;0.48814;0.17804;0.23946;0.1783;-0.086509;0.39026;0.19396
10;-0.11009;0.21805;0.64517;0.30665;-0.096633;-0.086509;0.21049;0.67254
10.05;-0.11009;-0.091356;-0.033126;0.32864;-0.096633;-0.086509;-0.068595;0.12128
10.1;-0.11009;0.29755;0.25203;-0.029701;-0.096633;-0.044909;0.33314;0.5552
10.15;-0.019681;-0.096946;-0.05189;0.0052121;0.5043;0.069371;-0.096922;-0.081578
