# Simulation data of water height over weir
#   Calculated by integrating alpha.water over the height
#   Averaged over 51 different times:
#       5, 5.1, 5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6, 6.1, 6.2, 6.3, 6.4, 6.5, 6.6, 6.7, 6.8, 6.9, 7, 7.1, 7.2, 7.3, 7.4, 7.5, 7.6, 7.7, 7.8, 7.9, 8, 8.1, 8.2, 8.3, 8.4, 8.5, 8.6, 8.7, 8.8, 8.9, 9, 9.1, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7, 9.8, 9.9, 10, 
position;mean(height);median(height);std(height);diff(height,mean)
-0.24914;2.263;2.2087;0.21895;0.019783
-0.24864;2.2781;2.2207;0.2336;0.034938
-0.24814;2.2527;2.1832;0.252;0.0094834
-0.24764;2.1785;2.0864;0.26288;-0.064641
-0.24714;2.1136;2.0254;0.27379;-0.12957
-0.24664;2.3045;2.2305;0.24667;0.061334
-0.24614;2.2589;2.1859;0.24899;0.01567
-0.24564;2.1822;2.1088;0.24744;-0.061006
-0.24514;2.1147;2.0294;0.25465;-0.12852
-0.24464;2.0991;2.0354;0.26713;-0.1441
-0.24414;2.1844;2.1354;0.27363;-0.058796
-0.24364;2.2397;2.1735;0.28675;-0.0034718
-0.24314;2.1636;2.0909;0.30665;-0.079623
-0.24264;2.0427;1.9393;0.32107;-0.20052
-0.24214;2.0234;1.9626;0.33965;-0.2198
-0.24164;2.2159;2.1879;0.32327;-0.027252
-0.24114;2.1682;2.1574;0.33285;-0.074934
-0.24064;2.1042;2.0809;0.31572;-0.139
-0.24014;2.0571;2.0194;0.31399;-0.18607
-0.23964;2.0582;2.0292;0.33534;-0.18501
-0.23914;2.1153;2.1412;0.37089;-0.12783
-0.23864;2.157;2.177;0.35615;-0.08623
-0.23814;2.0632;2.0693;0.34329;-0.17997
-0.23764;1.9882;1.9782;0.3435;-0.25502
-0.23714;2.0381;2.0106;0.34884;-0.20509
-0.23664;2.0917;2.1137;0.39075;-0.15149
-0.23614;2.1354;2.1459;0.37235;-0.10774
-0.23564;2.0439;2.0359;0.35688;-0.19926
-0.23514;1.9325;1.9203;0.35316;-0.31072
-0.23464;1.9303;1.9101;0.35273;-0.31288
-0.23414;2.132;2.1402;0.36404;-0.11122
-0.23364;2.1048;2.1157;0.39124;-0.13834
-0.23314;2.0676;2.0477;0.38744;-0.17556
-0.23264;2.0176;1.9587;0.36795;-0.22561
-0.23214;1.9561;1.9365;0.37576;-0.28705
-0.23164;2.1393;2.154;0.3768;-0.10385
-0.23114;2.0952;2.1096;0.38241;-0.14793
-0.23064;2.0354;2.0246;0.35643;-0.20775
-0.23014;1.9793;1.9386;0.3323;-0.26386
-0.22964;1.9131;1.8995;0.33876;-0.33012
-0.22914;2.1175;2.1294;0.34205;-0.1257
-0.22864;2.0893;2.1051;0.36225;-0.15392
-0.22814;2.0451;2.0376;0.35883;-0.19804
-0.22764;1.9781;1.9481;0.32475;-0.26512
-0.22714;1.9004;1.8766;0.31342;-0.34279
-0.22664;2.0948;2.0949;0.32094;-0.14834
-0.22614;2.0647;2.0579;0.33724;-0.1785
-0.22564;2.0228;1.9873;0.32967;-0.22038
-0.22514;1.9599;1.9094;0.30673;-0.2833
-0.22464;1.8833;1.8348;0.3086;-0.35991
-0.22414;2.0795;2.0539;0.29952;-0.16363
-0.22364;2.0326;2.0041;0.30011;-0.21058
-0.22314;1.9721;1.9289;0.27779;-0.27112
-0.22264;1.9114;1.8404;0.26399;-0.33178
-0.22214;1.8411;1.7558;0.27951;-0.40207
-0.22164;2.0378;1.9748;0.28333;-0.20541
-0.22114;1.9873;1.9275;0.28638;-0.25587
-0.22064;1.9354;1.8595;0.26261;-0.30782
-0.22014;1.8885;1.8084;0.24143;-0.35464
-0.21964;1.8729;1.7873;0.2403;-0.37026
-0.21914;1.9108;1.8382;0.28723;-0.33235
-0.21864;1.9163;1.8301;0.29497;-0.32687
-0.21814;1.9077;1.8139;0.28008;-0.33545
-0.21764;1.8481;1.7628;0.25515;-0.39504
-0.21714;1.7622;1.6697;0.26041;-0.48098
-0.21664;1.9525;1.8733;0.27118;-0.29067
-0.21614;1.909;1.8264;0.29213;-0.33422
-0.21564;1.8746;1.7791;0.2791;-0.3686
-0.21514;1.8283;1.7273;0.25728;-0.41486
-0.21464;1.7503;1.6498;0.26889;-0.49293
-0.21414;1.9358;1.8484;0.27722;-0.30742
-0.21364;1.8848;1.8104;0.28589;-0.3584
-0.21314;1.8427;1.7721;0.25653;-0.40045
-0.21264;1.8006;1.746;0.22921;-0.44255
-0.21214;1.7251;1.6769;0.23965;-0.51805
-0.21164;1.9168;1.8805;0.25823;-0.32634
-0.21114;1.8748;1.8383;0.27647;-0.36836
-0.21064;1.8413;1.7843;0.25764;-0.4019
-0.21014;1.7966;1.7647;0.22546;-0.44656
-0.20964;1.7146;1.6949;0.2329;-0.52859
-0.20914;1.9133;1.9034;0.24655;-0.32989
-0.20864;1.8687;1.8486;0.26527;-0.37453
-0.20814;1.8299;1.7988;0.24679;-0.41331
-0.20764;1.7863;1.7586;0.21872;-0.45683
-0.20714;1.7099;1.68;0.23074;-0.53326
-0.20664;1.8978;1.8832;0.24926;-0.34536
-0.20614;1.8978;1.8802;0.24313;-0.34543
-0.20564;1.7958;1.7752;0.2281;-0.44741
-0.20514;1.6785;1.6522;0.22032;-0.56473
-0.20464;1.668;1.6188;0.22094;-0.57513
-0.20414;1.8728;1.8265;0.23732;-0.37034
-0.20364;1.8148;1.7673;0.24867;-0.42838
-0.20314;1.7775;1.7336;0.21636;-0.4657
-0.20264;1.7327;1.6804;0.18595;-0.51047
-0.20214;1.6452;1.5795;0.20151;-0.59797
-0.20164;1.8268;1.7617;0.22616;-0.41636
-0.20114;1.7679;1.706;0.23598;-0.47529
-0.20064;1.7364;1.6772;0.20604;-0.5068
-0.20014;1.6963;1.6474;0.17997;-0.54684
-0.19964;1.6094;1.5485;0.19605;-0.63381
-0.19914;1.7865;1.7222;0.21991;-0.45672
-0.19864;1.7215;1.6446;0.23321;-0.52167
-0.19814;1.6951;1.6277;0.20456;-0.5481
-0.19764;1.6601;1.6051;0.18223;-0.58312
-0.19714;1.5687;1.5082;0.20068;-0.67445
-0.19664;1.7382;1.6729;0.22825;-0.50502
-0.19614;1.6712;1.5965;0.24199;-0.572
-0.19564;1.6493;1.5825;0.21244;-0.59386
-0.19514;1.6211;1.5482;0.18371;-0.62211
-0.19464;1.5286;1.4303;0.19633;-0.71455
-0.19414;1.6912;1.5761;0.22705;-0.55202
-0.19364;1.6244;1.5012;0.24427;-0.61875
-0.19314;1.6129;1.511;0.22043;-0.63033
-0.19264;1.5945;1.5152;0.1917;-0.64871
-0.19214;1.5055;1.413;0.20055;-0.73773
-0.19164;1.6609;1.5548;0.22656;-0.58223
-0.19114;1.5937;1.4887;0.23726;-0.64944
-0.19064;1.5828;1.5051;0.20909;-0.66039
-0.19014;1.5712;1.5151;0.18235;-0.67201
