# Envelope of the raw data
#   MATLAB signal filter envelope(..., 'peak') applied
#   Data scaled to the range from 0 to 1 for the envelope
#   Interpolated to delta t = 0.05 to reduce data
Time;Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8
3.85;-0.0049688;-0.022024;-0.0064846;0.0057904;0.0059829;0.0020253;0.014451;0.0065364
3.9;-0.0054867;-0.02384;-0.0062671;0.0053694;0.0062328;0.001892;0.015703;0.006539
3.95;-0.005894;-0.025405;-0.0059644;0.0048964;0.0064915;0.0018181;0.016928;0.0064852
4;-0.0061646;-0.026678;-0.0055724;0.0043711;0.0067568;0.0018125;0.018112;0.0063734
4.05;-0.0062741;-0.027617;-0.0050875;0.0037931;0.0070265;0.0018829;0.01924;0.0062024
4.1;-0.0061989;-0.028186;-0.004506;0.0031625;0.0072987;0.0020373;0.020301;0.0059708
4.15;-0.0059145;-0.028345;-0.0038242;0.0025196;0.0075712;0.0022836;0.02128;0.005677
4.2;-0.0053991;-0.028059;-0.0030391;0.0019519;0.0078421;0.002629;0.022166;0.0053202
4.25;-0.0046483;-0.027313;-0.0021592;0.0015544;0.0081042;0.0030706;0.022932;0.0049081
4.3;-0.0035652;-0.025983;-0.0010413;0.0013968;0.0083762;0.0036571;0.02362;0.004403
4.35;-0.002162;-0.02406;0.00036171;0.0016032;0.0086405;0.0043737;0.024169;0.0038259
4.4;-0.00041754;-0.021509;0.0021411;0.0022655;0.008895;0.0052269;0.024566;0.003176
4.45;0.0016952;-0.018288;0.0043924;0.0034772;0.0091381;0.006213;0.024799;0.0024508
4.5;0.0041959;-0.014366;0.0072015;0.0053244;0.0093679;0.0073029;0.024856;0.0016496
4.55;0.0071038;-0.0097098;0.010654;0.0078945;0.0095819;0.0084655;0.024725;0.0007726
4.6;0.010444;-0.0042794;0.014839;0.011274;0.0097791;0.0096745;0.024395;-0.00017567
4.65;0.014223;0.0019509;0.019834;0.015541;0.0099573;0.0109;0.023855;-0.0011754
4.7;0.018408;0.0089462;0.025663;0.020726;0.010113;0.012102;0.0231;-0.0021982
4.75;0.023102;0.016882;0.032538;0.027026;0.010249;0.013282;0.022104;-0.0032483
4.8;0.028442;0.025955;0.040756;0.03473;0.010364;0.014434;0.020818;-0.0043301
