390362 50 391074 0 391781 0 392493 0 393205 25 393911 58 394624 18 395336 0 
397031 0 397770 0 398483 0 399194 27 399901 56 400613 15 401325 0 402030 0 
403760 0 404498 0 405211 41 405917 49 406629 0 407340 0 408046 0 408758 22 
410493 0 411228 60 411935 38 412647 0 413360 0 414071 0 414777 39 415490 54 
417233 59 417938 33 418651 0 419363 0 420074 0 420781 57 421493 49 422205 0 
423938 12 424677 0 425389 0 426100 11 426807 59 427520 29 428232 0 428938 0 
430682 0 431420 0 432130 30 432836 53 433548 10 434261 0 434966 0 435679 15 
437427 0 438133 38 438840 50 439552 2 440264 0 440970 0 441682 20 442395 57 
444137 58 444852 44 445565 0 446277 0 446982 0 447694 36 448407 57 449118 10 
450866 21 451603 0 452340 0 453046 16 453759 59 454471 30 455182 0 455889 0 
457644 0 458383 0 459095 49 459801 49 460513 0 461224 0 461931 0 462644 25 
464419 13 465131 60 465837 32 466549 0 467262 0 467967 0 468679 58 469391 51 
472896 55 473636 24 474348 0 475054 0 475767 0 476479 57 477190 43 477897 0 
479432 30 480168 46 480875 0 481587 0 482298 0 483004 29 483716 56 484429 19 
485935 12 486676 58 487388 32 488099 0 488806 0 489518 0 490229 55 490936 51 
492480 0 493195 32 493902 55 494614 7 495325 0 496031 0 496743 12 497455 61 
498963 0 499703 0 500416 60 501127 48 501834 0 502545 0 503258 0 503964 31 
505512 0 506223 0 506930 18 507642 62 508353 29 509059 0 509771 0 510483 0 
511994 0 512734 0 513446 0 514158 34 514864 54 515576 4 516288 0 516994 0 
518547 2 519278 0 519984 0 520697 17 521409 60 522120 29 522827 0 523539 0 
525074 30 525814 0 526527 0 527238 0 527944 56 528656 46 529368 0 530074 0 
531638 40 532377 0 533083 0 533795 0 534507 35 535216 57 535922 9 536634 0 
538202 56 538909 0 539648 0 540360 0 541066 23 541778 57 542491 21 543196 0 
544762 55 545502 6 546208 0 546914 0 547627 13 548338 63 549044 37 549756 0 
551334 60 552040 21 552778 0 553490 0 554196 0 554903 58 555616 40 556327 0 
557899 62 558640 27 559351 0 560057 0 560769 0 561481 58 562187 47 562894 0 
564478 58 565209 34 565916 0 566629 0 567340 0 568045 55 568758 50 569470 2 
571023 59 571764 47 572476 0 573185 0 573892 0 574604 30 575315 58 576021 16 
577611 57 578348 46 579054 0 579767 0 580479 0 581189 24 581895 56 582608 14 
584193 37 584908 50 585621 1 586332 0 587038 0 587750 16 588462 59 589173 25 
590765 48 591503 52 592211 1 592917 0 593629 0 594339 18 595045 60 595757 26 
597365 35 598071 57 598783 7 599495 0 600202 0 600908 14 601620 59 602331 36 
603928 38 604668 49 605381 3 606087 0 606799 0 607511 19 608218 63 608924 25 
610530 31 611246 55 611952 3 612664 0 613376 0 614082 16 614794 60 615507 32 
617079 33 617819 54 618532 13 619239 0 619944 0 620657 11 621369 59 622075 37 
623688 42 624426 51 625131 0 625869 0 626581 0 627293 31 627998 56 628711 11 
630328 54 631034 44 631746 0 632458 0 633170 0 633877 34 634589 55 635302 10 
636913 61 637654 29 638366 0 639071 0 639784 0 640496 55 641207 48 641914 0 
643534 59 644250 27 644956 0 645669 0 646381 0 647087 59 647799 44 648511 0 
1243074 0 1243790 0 1244498 27 1245204 58 1245918 13 1246631 0 1247336 0 1248049 12 
1249706 0 1250420 0 1251126 55 1251839 43 1252553 0 1253260 0 1253973 0 1254686 33 
