# Simulation data of water height over weir
#   Calculated by integrating alpha.water over the height
#   Averaged over 51 different times:
#       5, 5.1, 5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6, 6.1, 6.2, 6.3, 6.4, 6.5, 6.6, 6.7, 6.8, 6.9, 7, 7.1, 7.2, 7.3, 7.4, 7.5, 7.6, 7.7, 7.8, 7.9, 8, 8.1, 8.2, 8.3, 8.4, 8.5, 8.6, 8.7, 8.8, 8.9, 9, 9.1, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7, 9.8, 9.9, 10, 
position;mean(height);median(height);std(height);diff(height,mean)
-0.28964;3.4441;3.486;0.28674;0.63089
-0.28914;3.5798;3.6382;0.28229;0.76655
-0.28864;3.6545;3.7106;0.2995;0.84126
-0.28814;3.6913;3.7372;0.35238;0.87805
-0.28764;3.5733;3.5872;0.38486;0.76007
-0.28714;3.5104;3.5354;0.40858;0.69714
-0.28664;3.574;3.5994;0.35758;0.76071
-0.28614;3.4932;3.5308;0.34587;0.67997
-0.28564;3.3628;3.4057;0.34469;0.54959
-0.28514;3.2384;3.2719;0.36428;0.42516
-0.28464;3.1768;3.2242;0.39416;0.36357
-0.28414;3.3108;3.3641;0.402;0.49751
-0.28364;3.3726;3.4329;0.42115;0.55936
-0.28314;3.3728;3.4345;0.47922;0.5596
-0.28264;3.265;3.3305;0.50974;0.45175
-0.28214;3.1741;3.3041;0.55309;0.36088
-0.28164;3.2523;3.3925;0.50375;0.43908
-0.28114;3.1944;3.3473;0.492;0.38111
-0.28064;3.0535;3.2033;0.49707;0.24023
-0.28014;2.9188;3.0787;0.51453;0.10556
-0.27964;2.8679;3.0026;0.52914;0.054654
-0.27914;2.9909;3.1248;0.56001;0.17762
-0.27864;3.0408;3.1761;0.58111;0.22755
-0.27814;3.0036;3.132;0.63082;0.19034
-0.27764;2.8594;2.9691;0.65441;0.046145
-0.27714;2.7881;2.95;0.67667;-0.025148
-0.27664;2.9221;3.0907;0.62953;0.10885
-0.27614;2.8734;3.0529;0.61809;0.060141
-0.27564;2.7373;2.9157;0.61587;-0.075927
-0.27514;2.6117;2.8059;0.60954;-0.20155
-0.27464;2.5786;2.7174;0.59671;-0.23467
-0.27414;2.6807;2.8241;0.64953;-0.13254
-0.27364;2.7013;2.8423;0.68185;-0.112
-0.27314;2.6881;2.817;0.69041;-0.12519
-0.27264;2.6015;2.6838;0.67771;-0.21177
-0.27214;2.5028;2.6068;0.69921;-0.31047
-0.27164;2.6411;2.7581;0.6585;-0.17211
-0.27114;2.6087;2.7376;0.64557;-0.20459
-0.27064;2.4804;2.611;0.63668;-0.33281
-0.27014;2.3712;2.4562;0.61815;-0.44208
-0.26964;2.3654;2.4346;0.59517;-0.44786
-0.26914;2.452;2.5501;0.66444;-0.36127
-0.26864;2.5113;2.6148;0.66727;-0.30193
-0.26814;2.4557;2.55;0.68739;-0.35757
-0.26764;2.3401;2.3995;0.69894;-0.47314
-0.26714;2.3193;2.3794;0.7118;-0.49397
-0.26664;2.4902;2.5608;0.67753;-0.32302
-0.26614;2.4407;2.4965;0.67758;-0.37255
-0.26564;2.3621;2.3914;0.63813;-0.45112
